,dqn_sum,dqn_pid_0,dqn_pid_1
843000,0.0,1.0,-1.0
844000,1.716,1.0,0.716
845000,1.65,1.0,0.65
846000,0.0,1.0,-1.0
847000,0.0,1.0,-1.0
848000,1.6600000000000001,1.0,0.66
849000,1.692,1.0,0.692
850000,0.0,1.0,-1.0
851000,1.65,1.0,0.65
852000,0.0,1.0,-1.0
853000,1.6840000000000002,1.0,0.684
854000,1.686,1.0,0.686
855000,1.728,1.0,0.728
856000,1.71,1.0,0.71
857000,0.0,1.0,-1.0
858000,1.73,1.0,0.73
859000,1.688,1.0,0.688
860000,1.738,1.0,0.738
861000,1.6720000000000002,1.0,0.672
862000,1.718,1.0,0.718
863000,1.734,1.0,0.734
864000,1.722,1.0,0.722
865000,1.696,1.0,0.696
866000,1.6560000000000001,1.0,0.656
867000,1.692,1.0,0.692
868000,1.6680000000000001,1.0,0.668
869000,1.704,1.0,0.704
870000,0.0,1.0,-1.0
871000,1.738,1.0,0.738
872000,1.6560000000000001,1.0,0.656
873000,1.698,1.0,0.698
874000,1.694,1.0,0.694
875000,1.6640000000000001,1.0,0.664
876000,1.634,1.0,0.634
877000,1.6400000000000001,1.0,0.64
878000,1.682,1.0,0.682
879000,1.686,1.0,0.686
880000,0.0,1.0,-1.0
881000,1.6840000000000002,1.0,0.684
882000,1.666,1.0,0.666
883000,1.654,1.0,0.654
884000,1.674,1.0,0.674
885000,1.682,1.0,0.682
886000,1.6320000000000001,1.0,0.632
887000,1.6600000000000001,1.0,0.66
888000,1.6360000000000001,1.0,0.636
889000,1.6640000000000001,1.0,0.664
890000,1.6840000000000002,1.0,0.684
891000,1.718,1.0,0.718
